,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-02-09,17.7,3.14135286558,0.0,14687.954844,408997.224658,56.3333333333,0.0,1.375,5.6,-2.2,5.20833333333,0.0767310028884,-0.387582536086,0.268961932271,2.0,0.295365967753,24.6896267809,25.0878890878,-0.398262306899,-6.98962678091
2010-02-10,23.0,5.28731048586,0.0,14533.2450328,403988.739223,92.4166666667,1.33,0.05,1.1,-1.1,11.625,0.315018028165,0.287709273091,0.0261751681891,2.0,0.142279765082,16.8449482234,16.983849439,-0.138901215591,6.15505177655
2010-02-11,13.6,2.04384902588,0.0,14378.5352217,398980.253789,57.75,0.0,0.00416666666667,2.2,-2.2,11.7083333333,0.106338369165,-0.271007547021,0.25164470684,2.0,0.358475195897,19.5264031365,20.1930855218,-0.666682385244,-5.92640313654
2010-02-12,28.1,4.96298618616,0.0,14223.8254105,393971.768355,51.625,0.0,-0.654166666667,2.8,-2.8,8.33333333333,0.057223199388,-0.366195557016,0.673651142224,2.0,0.634959529771,17.6481679233,18.6902031408,-1.04203521747,10.4518320767
2010-02-13,16.2,2.04173838975,0.0,14069.1155993,388963.282921,53.8333333333,0.0,-2.24166666667,0.0,-4.4,8.70833333333,0.0761178290141,-0.124140258427,0.494890541529,2.0,0.56408864933,14.9427373411,15.7505766429,-0.80783930181,1.2572626589
2010-02-14,14.1,1.63972426102,0.0,13914.4057882,383954.797487,55.9166666667,0.0,0.416666666667,3.9,-2.2,9.04166666667,0.00745518290313,-0.32765547441,0.467017319839,2.0,0.503161698067,18.9848323236,19.674650482,-0.68981815844,-4.88483232357
2010-02-15,24.5,3.63443425017,0.0,13759.695977,378946.312052,58.7916666667,0.01,0.841666666667,4.4,-2.8,7.04166666667,0.0170284013583,-0.269264231085,0.206982318969,2.0,0.264282961354,27.7443088462,28.2619275213,-0.517618675073,-3.24430884623
2010-02-16,47.0,7.04068919551,0.0,13604.9861658,373937.826618,90.0416666667,0.43,-0.258333333333,0.6,-1.7,5.58333333333,0.136898967474,-0.0194962964068,0.240774976389,2.0,0.340960568596,24.1289205355,25.0474832695,-0.91856273405,22.8710794645
2010-02-17,22.8,3.8264525517,0.0,13450.2763547,368929.341184,67.1666666667,0.0,-0.620833333333,1.1,-3.3,8.125,-0.0431922022497,-0.575756443537,0.259015320444,2.0,0.360077926433,19.3005369796,19.9056928798,-0.605155900259,3.49946302044
2010-02-18,22.9,5.22102598335,0.0,13295.5665435,363920.85575,60.4166666667,0.0,2.3,4.4,0.0,9.79166666667,0.0502077008188,-0.326408687525,0.334910797893,2.0,0.377619143482,20.8409705325,21.4507097399,-0.609739207412,2.05902946751
2010-02-19,27.8,4.86323086978,0.0,13140.8567323,358912.370316,54.7083333333,0.0,3.975,6.1,2.2,11.4166666667,0.0852918734574,-0.443313605216,0.453413792728,2.0,0.472569328952,16.7518409766,17.2342266635,-0.482385686814,11.0481590234
2010-02-20,20.3,3.05698297796,0.0,12986.1469212,353903.884881,59.7083333333,0.0,4.14166666667,6.7,1.7,8.08333333333,0.0716938808602,-0.364929536434,0.367307844239,2.0,0.460814746419,20.4084980882,20.9159100628,-0.507411974656,-0.108498088185
2010-02-21,23.7,3.4288101625,0.0,12831.43711,348895.399447,44.9166666667,0.0,4.02916666667,7.8,1.1,9.45833333333,0.0993228705956,-0.428389461179,0.310547713977,2.0,0.381068780747,17.8210064157,18.0499558259,-0.228949410151,5.87899358429
2010-02-22,21.2,3.27104114082,0.0,12676.7272989,343886.914013,57.7916666667,0.03,2.72916666667,7.2,-1.7,6.0,0.105166885852,0.128023508146,0.20406150565,2.0,0.26634376613,20.0452108111,20.3412477383,-0.296036927178,1.15478918886
2010-02-23,12.2,1.99898071853,0.0,12522.0174877,338878.428579,93.5416666667,1.2,2.22916666667,3.3,1.7,14.0833333333,0.330167235067,0.398402872176,0.361799421798,2.0,0.399508022784,15.3680380471,16.1114025736,-0.743364526491,-3.16803804713
2010-02-24,21.6,4.73752100398,0.0,12367.3076765,333869.943144,89.1666666667,0.42,3.7375,5.0,2.2,7.83333333333,0.295807369572,-0.125573482153,0.295892695657,2.0,0.350486831706,21.2182957349,22.0968119104,-0.878516175525,0.381704265126
2010-02-25,26.4,3.85246292497,0.0,12212.5978654,328861.45771,94.2916666667,2.0,0.783333333333,3.3,-2.8,3.27272727273,0.408571584357,0.00155687909359,0.47985311204,2.0,0.474690834726,27.7223602858,29.6047359688,-1.88237568302,-1.3223602858
2010-02-26,32.9,9.11983353118,0.0,12057.8880542,323852.972276,90.125,1.17,-1.29583333333,0.6,-3.3,2.6,0.132235340736,-0.0410336563755,0.342894058858,2.0,0.387175899953,30.4473691198,32.1211273936,-1.67375827388,2.45263088024
2010-02-27,33.2,4.32515183616,0.0,11903.178243,318844.486842,78.1666666667,0.01,1.13333333333,3.3,-1.7,4.7,0.0833333333333,0.0,0.438440312633,2.0,0.460018707669,23.548583358,24.7530340439,-1.20445068592,9.65141664197
2010-02-28,27.3,3.37484030755,0.0,11748.4684319,313836.001408,72.8333333333,0.0,2.47916666667,3.9,0.6,4.0,0.29460558956,-0.224469190513,0.40240163936,2.0,0.401797713347,23.7952949408,24.6820753033,-0.886780362485,3.50470505921
2010-03-01,26.5,5.42165378,0.0,11593.7586207,308827.515973,58.5833333333,0.0,4.92083333333,8.3,2.2,9.75,0.0993228705956,-0.272887344197,0.0299086265754,2.0,0.0760395740001,18.6482861989,18.6742859897,-0.0259997907985,7.85171380113
2010-03-02,26.0,5.34926341169,0.0,11359.5666256,305051.027527,66.2083333333,0.01,4.65416666667,7.8,2.2,5.375,0.187997753377,0.146904568863,0.00576294510321,2.0,0.0803908142721,25.0519732548,25.0641713197,-0.0121980649096,0.948026745172
